Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2576.5,16.579794,18.570707,1.4724624,0.092530005,1349.02054912,22.1
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5764.0,,41.057056,1.2052087,-0.02262,9203.675561984,22.1
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2387.0,14.70552,31.503235,2.2030966,0.21301001,4279.923900416,22.1
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1411.5,5.247797,82.39931,1.5498266,0.38529,633.189564416,22.1
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2919.0,12.109521,15.266737,1.4016126,0.16773,2484.58510336,22.1
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,7011.0,24.499422,29.71896,5.688923,0.23493,11537.141989376,22.1
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4902.0,35.794086,24.199041,1.5242447,0.049629997,1383.520927744,22.1
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2833.5,20.165825,19.737392,3.029315,0.14812,5155.987652608,22.1
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,12195.0,15.866511,23.488964,1.9776996,0.13420999,6407.172653056,22.1
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,54320.0,53.71092,,12.381112,0.87108004,29726.213144576,42.98
4062,IBIDEN CO LTD,Technology,Electronic Components,19190.0,89.47221,62.111603,9.410387,0.12655,5362.99962368,42.98
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,3365.0,13.639496,15.666466,1.4582206,,1351.368966144,42.98
6501,HITACHI,Industrials,Conglomerates,5196.0,29.382494,29.169706,3.5450807,,23258.025951232,21.04
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,5602.0,28.223083,33.922733,2.5082574,0.10283,11464.1338368,21.04
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,13885.0,20.86746,22.858978,2.5633097,0.14274,2027.087200256,21.04
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,4979.0,36.712875,24.300844,2.6623518,0.07511,1291.393040384,21.04
6526,SOCIONEXT INC,Industrials,Electrical Equipment & Parts,1990.0,40.1939,13.927771,2.7159376,0.059959996,348.825387008,21.04
6645,OMRON CORP,Technology,Electronic Components,6292.0,36.227547,23.211716,1.4869006,0.05131,1237.192146944,42.98
6701,NEC CORP,Technology,Information Technology Services,4656.0,22.945004,6.476021,2.7642152,0.1416,6175.457804288,42.98
6702,FUJITSU,Technology,Information Technology Services,3646.0,20.858124,24.034279,3.1076071,0.16202,6311.32389376,42.98
6723,RENESAS ELECTRONICS CORP,Technology,Semiconductors,3433.0,18.428257,12.29534,2.2015965,0.13953,6273.770717184,42.98
6724,SEIKO EPSON CORP,Technology,Computer Hardware,3063.0,53.83128,15.166369,1.1342747,0.0297,981.470150656,42.98
6752,PANASONIC HOLDINGS CORP,Technology,Consumer Electronics,4303.0,52.907906,25.484158,1.8584857,0.0525,10047.18260224,42.98
6753,SHARP CORP,Technology,Consumer Electronics,641.0,8.774812,11.780923,1.4120094,0.09599,416.205471744,42.98
6758,SONY GROUP CORPORATION,Technology,Consumer Electronics,3785.0,20.286203,20.66048,2.6558235,0.13159999,22156.656246784,42.98
6762,TDK CORP,Technology,Electronic Components,3041.0,29.530005,28.45247,2.510843,0.1163,5772.286623744,42.98
6770,ALPS ALPINE CO LTD,Technology,Electronic Components,2193.5,16.281918,20.498083,0.96238095,0.06243,428.050284544,42.98
6841,YOKOGAWA ELECTRIC CORP,Industrials,Specialty Industrial Machinery,5000.0,21.975124,23.139578,2.4761877,,1251.211739136,21.04
6857,ADVANTEST CORP,Technology,Semiconductor Equipment & Materials,35900.0,69.538605,151.01166,24.927439,0.56895,25929.906651136,42.98
6861,KEYENCE CORP,Technology,Scientific & Technical Instruments,79900.0,43.62163,42.78699,5.46046,,19377.75788032,42.98
6902,DENSO CORP,Consumer Cyclical,Auto Parts,1948.5,11.962794,10.105279,0.955422,0.09198,4885.16354048,23.4
6920,LASERTEC CORP,Technology,Semiconductor Equipment & Materials,35120.0,40.706097,32.156166,12.752097,0.33929002,3147.828822016,42.98
6954,FANUC CORPORATION,Industrials,Specialty Industrial Machinery,6035.0,33.79249,34.862225,2.9757502,0.10049,5631.606521856,21.04
6963,ROHM CO LTD,Technology,Semiconductors,4699.0,,54.079872,2.343288,,1813.97880832,42.98
6971,KYOCERA CORP,Industrials,Conglomerates,3608.0,35.12119,40.31285,1.4094136,0.05059,4643.699556352,21.04
6976,TAIYO YUDEN CO LTD,Technology,Electronic Components,9300.0,86.28688,49.655617,3.28944,0.05335,1163.866144768,42.98
6981,MURATA MANUFACTURING CO,Technology,Electronic Components,7091.0,55.602604,29.885784,4.678638,0.10063,12907.83424512,42.98
7735,SCREEN HOLDINGS CO LTD,Technology,Semiconductor Equipment & Materials,12970.0,26.655432,14.827941,4.9334292,0.1887,2452.469055488,42.98
7751,CANON INC,Technology,Computer Hardware,4593.0,11.612854,12.670694,1.1197433,0.10371,3876.276928512,42.98
7752,RICOH CO,Industrials,Business Equipment & Supplies,1642.0,16.801392,14.220143,0.78653824,0.07453,922.885685248,21.04
8035,TOKYO ELECTRON,Technology,Semiconductor Equipment & Materials,54290.0,43.319023,42.407436,11.518508,0.30929002,24663.77629696,42.98
543A,ARCHION CORPORATION,Industrials,Farm & Heavy Construction Machinery,280.0,1.9246632,,0.8181824,0.50815,771.843162112,21.04
7201,NISSAN MOTOR CO,Consumer Cyclical,Auto Manufacturers,336.0,,-22.903885,0.24089025,-0.076519996,1174.784442368,23.4
7202,ISUZU MOTORS,Consumer Cyclical,Auto Manufacturers,2228.5,11.539457,8.75845,1.015903,0.116009995,1531.507900416,23.4
